category,rating,label,text_
Home_and_Kitchen_5,5,CG,"Love this!  Well made, sturdy, and very comfortable.  I love it!Very pretty"
Home_and_Kitchen_5,5,CG,"love it, a great upgrade from the original.  I've had mine for a couple of years"
Home_and_Kitchen_5,5,CG,This pillow saved my back. I love the look and feel of this pillow.
Home_and_Kitchen_5,1,CG,"Missing information on how to use it, but it is a great product for the price!  I"
Home_and_Kitchen_5,5,CG,Very nice set. Good quality. We have had the set for two months now and have not been
Home_and_Kitchen_5,3,CG,I WANTED DIFFERENT FLAVORS BUT THEY ARE NOT.
Home_and_Kitchen_5,5,CG,They are the perfect touch for me and the only thing I wish they had a little more space.
Home_and_Kitchen_5,3,CG,These done fit well and look great.  I love the smoothness of the edges and the extra
Home_and_Kitchen_5,5,CG,"Great big numbers & easy to read, the only thing I didn't like is the size of the"
Home_and_Kitchen_5,5,CG,My son loves this comforter and it is very well made.  We also have a baby
Home_and_Kitchen_5,5,CG,As advertised. 5th one I've had. The only problem is that it's not really a
Home_and_Kitchen_5,5,CG,Very handy for one of my kids and the tools are included in the package. I have one in
Home_and_Kitchen_5,5,CG,"Did someone say, ""Oriental for $60""?  It is a great product for the"
Home_and_Kitchen_5,1,CG,These are so flimsy! They are not the quality you would expect from a piece of furniture.
Home_and_Kitchen_5,5,CG,Makes may tea with out stirring. The only problem is that it's kind of hard to put
Home_and_Kitchen_5,5,CG,Absolutely adorable! And excellent price. We have had the wooden ones for a few months now and they
Home_and_Kitchen_5,5,CG,Love this!  Perfect size for an entire family!Very good quality.
Home_and_Kitchen_5,5,CG,These look beautiful and so nice. The only problem is that it's not really a mesh one.
Home_and_Kitchen_5,5,CG,Exactly what you would expect. I love the look and feel of this pillow.
Home_and_Kitchen_5,5,CG,"10 Stars, I would highly recommend this item. We love this blanket."
Home_and_Kitchen_5,5,CG,Great little egg masher.  We have had it for a few months now and it's been
Home_and_Kitchen_5,5,CG,"As advertised.  Easy to use.  Love the colors.  Also, the dimensions are just"
Home_and_Kitchen_5,5,CG,it is exactly as pictured. I love the look and feel of this pillow.
Home_and_Kitchen_5,5,CG,"Fantastic, just what I wanted!!!  I love the look and feel of this pillow."
Home_and_Kitchen_5,5,CG,"Supposed to come with extra hardware. The only problem is that it's not really a vacuum,"
Home_and_Kitchen_5,5,CG,Easy to use. Seems to be an easy way to make a smoothie for a small person.
Home_and_Kitchen_5,2,CG,Not what I am accustomed to. The only reason I gave it 4 stars is because I just can
Home_and_Kitchen_5,5,CG,"Nice product & seller. Yes, it is a very thin plastic piece. However, the handle has"
Home_and_Kitchen_5,5,CG,So good we bought the second set and they look just like the first one. I am not sure
Home_and_Kitchen_5,5,CG,Wonderful aroma throughout the house.  The only problem is that it's kind of hard to put
Home_and_Kitchen_5,5,CG,Received in no time flat.  I love the look.  My husband likes it too.
Home_and_Kitchen_5,3,CG,These are okay they are not as nice as the ones I got from my local store but they are
Home_and_Kitchen_5,3,CG,gave them away - thought it would be a good addition to my kitchen!  I am very
Home_and_Kitchen_5,4,CG,"Product is fine, wish it had an option to have a separate handle."
Home_and_Kitchen_5,5,CG,"Awesome is all I have to say, the materials are good, and the quality is decent."
Home_and_Kitchen_5,3,CG,Way too heavy for everyday use. The only reason I gave it 4 stars is because the one we
Home_and_Kitchen_5,5,CG,"Well made, works great.  We have had the wooden part of the cup for a couple of"
Home_and_Kitchen_5,5,CG,Bought these to go with my old suction cups. I also love that they are removable and
Home_and_Kitchen_5,5,CG,Just as expected! Looks great and has the design to make it a nice place for the baby to
Home_and_Kitchen_5,1,CG,"Awful experience, everything stuck, cooked evenly. The only problem is that it's not really a"
Home_and_Kitchen_5,5,CG,Does a great job of keeping the suction on. I also love that it doesn't slide.
Home_and_Kitchen_5,2,CG,"SHEET COLOR IS NICE BUY FOR MY SIZE FOR MY TOWN.
"
Home_and_Kitchen_5,5,CG,Save $ on these instead of the original shipping box. I will keep my money!Very pretty.
Home_and_Kitchen_5,5,CG,"These towels are real nice, and I love the feel of them.  They have a nice feel"
Home_and_Kitchen_5,5,CG,"Works great, easy to clean, and easy to clean. I will be purchasing more!Very pretty"
Home_and_Kitchen_5,3,CG,"Alright for the price,but was a little disappointed with the quality of the product."
Home_and_Kitchen_5,4,CG,"Great quality, beautiful color.  We have had the same one for a few months now and love"
Home_and_Kitchen_5,1,CG,I put paper in one corner of the cabinet and put a piece of paper in the other corner.
Home_and_Kitchen_5,5,CG,Great stickers but a little small. The only reason I gave it 4 stars is because the one in
Home_and_Kitchen_5,5,CG,Great quality and the fabric looks great.  It is thick enough to hold a small amount of coffee
Home_and_Kitchen_5,5,CG,Perfect. They do exactly what I need them to do. I will keep them for a long time
Home_and_Kitchen_5,5,CG,Love this movie & the time it took to finish. I will keep my review for the next time
Home_and_Kitchen_5,1,CG,"Will not seal properly. Atrocious little ones, they feel like they will break if you throw"
Home_and_Kitchen_5,5,CG,Got these for the third time.  I have a small dog and my son loves to throw them
Home_and_Kitchen_5,5,CG,Excellent product and a much better quality than the one you get at Walmart for $50.
Home_and_Kitchen_5,5,OR,"These are just perfect, exactly what I was looking for."
Home_and_Kitchen_5,5,OR,Such a great purchase can't beat it for the price
Home_and_Kitchen_5,5,OR,What can you say--- cheap and it works as intended.
Home_and_Kitchen_5,5,OR,"These are so nice, sturdy, like the color choices too."
Home_and_Kitchen_5,5,OR,It is nice bowl and have had a fast shipping!
Home_and_Kitchen_5,5,OR,Great cup. Will last forever. Keeps things cool / warm.
Home_and_Kitchen_5,5,OR,"Love them, just thought they would be a bit bigger!"
Home_and_Kitchen_5,5,OR,Excellent quality product. Perfect for my ccozinha.
Home_and_Kitchen_5,5,OR,This fan is really pretty and I actually use it.
Home_and_Kitchen_5,1,OR,"Super rough, not soft wash cloths, more like bar towels"
Home_and_Kitchen_5,5,OR,Like this little guy. Use it often. He is small.
Home_and_Kitchen_5,5,OR,Perfect size .easy to unfold. Topremoves for storage. Love this.
Home_and_Kitchen_5,1,OR,Does not do a very good job; difficult to use.
Home_and_Kitchen_5,5,OR,frame was beautifully crafted and looks great with my picture.
Home_and_Kitchen_5,5,OR,My hot cocoa is finally perfect! This product is fabulous
Home_and_Kitchen_5,5,OR,i bought this for a friend and he loves it.
Home_and_Kitchen_5,5,OR,Very soft and great quality for such a low price!
Home_and_Kitchen_5,5,OR,Purchased as a Christmas gift.  She will love it.
Home_and_Kitchen_5,5,OR,"accurate description, works great, came on time, i'm very happy!"
Home_and_Kitchen_5,5,OR,Use it in my Duvet cover. Fluffy and perfect fit!
Home_and_Kitchen_5,5,OR,One of the softest blankets ever. So nice and cozy.
Home_and_Kitchen_5,5,OR,"Smells great, and the fine mist dries quickly. My favorite."
Home_and_Kitchen_5,5,OR,Exactly what I was expecting. perfect curtains for my bedroom.
Home_and_Kitchen_5,4,OR,Just what I wanted to hang my pants and skirts.
Home_and_Kitchen_5,3,OR,"It's kind of small, we were looking for something larger."
Home_and_Kitchen_5,4,OR,A little pricey for what it is.
Home_and_Kitchen_5,5,OR,works great & the charge kept up all day long
Home_and_Kitchen_5,5,OR,This is a nice quality frame at a good price
Home_and_Kitchen_5,3,OR,"Does the job, but nothing special. Not hard to install."
Home_and_Kitchen_5,5,OR,Item as described and arrived in a timely manner.
Home_and_Kitchen_5,3,OR,Bought 2 and sent one back because it didn't work
Home_and_Kitchen_5,5,OR,"Made well holds all my make brushes, pencils, mascara etc."
Home_and_Kitchen_5,1,OR,"sheds all over, would not buy it ever again. blanket."
Home_and_Kitchen_5,5,OR,"Works great, it's Pyrex, I'd expect nothing less from them."
Home_and_Kitchen_5,5,OR,"we like this little opener, real easy on my hands."
Home_and_Kitchen_5,5,OR,Perfect. Love everything about them. Look great in my kitchen.
Home_and_Kitchen_5,5,OR,air tight and it works great glad i got it
Home_and_Kitchen_5,5,OR,Very cute and good quality fabric. Zippers worked well too.
